UE_ID,RB_ID,Throughput_Mbps
6,1,0.41930
3,1,0.53910
8,1,0.41930
10,1,1.19799
13,1,0.41930
14,1,1.19799
16,1,1.13809
17,1,1.31779
19,1,1.37769
21,1,0.53910
6,1,0.62867
3,1,0.68582
8,1,0.40006
10,1,0.85727
13,1,0.45721
14,1,1.20018
16,1,1.14303
17,1,1.54309
19,1,1.20018
21,1,0.45721
6,1,0.41938
3,1,0.41938
8,1,0.59911
10,1,1.31804
13,1,0.47929
14,1,1.31804
16,1,0.77884
17,1,1.01849
19,1,1.31804
21,1,0.65902
6,1,0.41869
3,1,0.53832
8,1,0.53832
10,1,0.77757
13,1,0.53832
14,1,0.83738
16,1,1.07663
17,1,0.95701
19,1,1.07663
21,1,0.41869
6,1,0.62761
3,1,0.51350
8,1,0.51350
10,1,1.31228
13,1,0.57056
14,1,0.96994
16,1,1.02700
17,1,1.14111
19,1,1.25522
21,1,0.57056
6,1,0.74244
3,1,0.62822
8,1,0.39978
10,1,1.02799
13,1,0.62822
14,1,1.19933
16,1,1.02799
17,1,1.54199
19,1,1.31355
21,1,0.39978
6,1,0.83776
3,1,0.47872
8,1,0.59840
10,1,0.59840
13,1,0.47872
14,1,1.07712
16,1,0.77792
17,1,1.01728
19,1,0.77792
21,1,0.53856
6,1,0.65684
3,1,0.23885
8,1,0.83597
10,1,1.07482
13,1,0.65684
14,1,1.19425
16,1,0.59712
17,1,1.07482
19,1,0.89569
21,1,0.59712
6,1,0.45871
3,1,0.63072
8,1,0.74540
10,1,1.43347
13,1,0.68806
14,1,0.97476
16,1,1.14677
17,1,1.31879
19,1,1.49080
21,1,0.68806
6,1,0.47896
3,1,0.47896
8,1,0.47896
10,1,0.71845
13,1,0.47896
14,1,0.89806
16,1,1.19741
17,1,0.77832
19,1,0.83819
21,1,0.41909
6,1,0.47922
3,1,0.71882
8,1,0.65892
10,1,1.31784
13,1,0.65892
14,1,1.31784
16,1,0.95843
17,1,1.25794
19,1,1.19804
21,1,0.47922
6,1,0.41881
3,1,0.65813
8,1,0.47864
10,1,1.13677
13,1,0.71796
14,1,1.25644
16,1,1.49576
17,1,1.31627
19,1,1.31627
21,1,0.47864
6,1,0.51425
3,1,0.68567
8,1,0.45711
10,1,1.08564
13,1,0.68567
14,1,0.91422
16,1,1.19992
17,1,0.51425
19,1,0.79995
21,1,0.68567
6,1,0.51351
3,1,0.22823
8,1,0.39939
10,1,0.85585
13,1,0.51351
14,1,0.57056
16,1,0.68468
17,1,1.31230
19,1,0.91290
21,1,0.45645
6,1,0.74299
3,1,0.74299
8,1,0.68584
10,1,1.20022
13,1,0.51438
14,1,1.42883
16,1,1.25737
17,1,1.31452
19,1,1.31452
21,1,0.85730
6,1,0.77795
3,1,0.77795
8,1,0.77795
10,1,1.19685
13,1,0.77795
14,1,0.95748
16,1,1.37638
17,1,1.01732
19,1,1.19685
21,1,0.53858
6,1,0.83797
3,1,0.53870
8,1,0.53870
10,1,0.59855
13,1,0.77812
14,1,1.19711
16,1,1.37667
17,1,0.89783
19,1,0.83797
21,1,0.83797
6,1,0.74353
3,1,0.80072
8,1,0.74353
10,1,1.31547
13,1,0.51475
14,1,1.02950
16,1,0.97230
17,1,1.14389
19,1,1.14389
21,1,0.74353
6,1,0.74248
3,1,0.51402
8,1,0.51402
10,1,1.14227
13,1,0.62825
14,1,1.25650
16,1,1.37073
17,1,1.08516
19,1,0.97093
21,1,0.74248
6,1,0.83741
3,1,0.77760
8,1,0.53834
10,1,1.07667
13,1,0.53834
14,1,0.71778
16,1,1.49538
17,1,1.13649
19,1,1.25612
21,1,0.53834
6,1,0.85720
3,1,0.74291
8,1,0.51432
10,1,1.08579
13,1,0.91435
14,1,1.37152
16,1,1.48581
17,1,1.25723
19,1,1.14293
21,1,0.74291
6,1,0.65804
3,1,0.89732
8,1,0.53839
10,1,1.01697
13,1,0.59822
14,1,0.89732
16,1,1.85447
17,1,0.83750
19,1,0.77768
21,1,0.53839
6,1,0.85397
3,1,0.85397
8,1,0.74011
10,1,1.02477
13,1,0.56932
14,1,1.42329
16,1,1.48022
17,1,1.25250
19,1,1.53715
21,1,0.74011
6,1,0.85842
3,1,0.85842
8,1,0.51505
10,1,0.97287
13,1,0.74396
14,1,0.00000
16,1,1.48792
17,1,0.51505
19,1,0.80119
21,1,0.68673
6,1,0.57067
3,1,0.57067
8,1,0.85601
10,1,1.19841
13,1,0.74187
14,1,1.94029
16,1,1.19841
17,1,1.31255
19,1,1.08428
21,1,0.57067
6,1,0.94737
3,1,0.94737
8,1,0.88816
10,1,0.88816
13,1,0.88816
14,1,0.88816
16,1,1.36185
17,1,1.24342
19,1,1.24342
21,1,0.88816
6,1,0.51940
3,1,0.57711
8,1,0.86567
10,1,1.38507
13,1,0.57711
14,1,1.21193
16,1,1.38507
17,1,0.86567
19,1,0.98109
21,1,0.92338
6,1,0.62780
3,1,0.74194
8,1,0.91316
10,1,0.91316
13,1,0.74194
14,1,0.85609
16,1,0.79901
17,1,1.36974
19,1,1.14145
21,1,0.57072
6,1,0.68435
3,1,0.57029
8,1,0.68435
10,1,0.96949
13,1,0.68435
14,1,1.19761
16,1,1.02652
17,1,0.79840
19,1,1.19761
21,1,0.57029
6,1,0.71812
3,1,0.77797
8,1,0.77797
10,1,1.37641
13,1,0.95750
14,1,0.65828
16,1,1.19687
17,1,0.89766
19,1,1.13703
21,1,0.59844
6,1,0.91518
3,1,0.74358
8,1,0.91518
10,1,1.08678
13,1,0.68639
14,1,1.25837
16,1,1.08678
17,1,1.42997
19,1,0.40039
21,1,0.62919
6,1,0.71855
3,1,0.95807
8,1,1.31735
10,1,0.95807
13,1,0.65868
14,1,0.89819
16,1,1.13771
17,1,1.07783
19,1,1.43711
21,1,0.95807
6,1,0.65854
3,1,0.71841
8,1,1.01774
10,1,1.25721
13,1,1.07761
14,1,1.49668
16,1,0.89801
17,1,1.25721
19,1,1.07761
21,1,0.71841
6,1,1.03111
3,1,0.97382
8,1,0.97382
10,1,0.97382
13,1,0.97382
14,1,0.85926
16,1,1.03111
17,1,0.85926
19,1,1.08839
21,1,0.97382
6,1,1.19308
3,1,0.71585
8,1,0.71585
10,1,0.95447
13,1,0.65620
14,1,1.19308
16,1,1.13343
17,1,1.01412
19,1,0.83516
21,1,0.65620
6,1,0.89579
3,1,1.01522
8,1,1.01522
10,1,1.31382
13,1,0.71663
14,1,1.25410
16,1,1.13466
17,1,1.19438
19,1,1.43326
21,1,1.07494
6,1,1.02924
3,1,0.62898
8,1,0.68616
10,1,0.68616
13,1,1.31514
14,1,0.85770
16,1,1.08642
17,1,1.08642
19,1,0.80052
21,1,0.97206
6,1,0.73928
3,1,0.68241
8,1,0.96675
10,1,1.42168
13,1,1.08048
14,1,1.13735
16,1,1.13735
17,1,0.73928
19,1,0.85301
21,1,0.68241
6,1,0.74697
3,1,0.74697
8,1,1.09173
10,1,0.68951
13,1,0.91935
14,1,0.91935
16,1,0.74697
17,1,0.97681
19,1,1.14919
21,1,0.97681
6,1,1.13557
3,1,1.07581
8,1,0.71720
10,1,1.49417
13,1,1.31487
14,1,1.31487
16,1,1.43441
17,1,1.49417
19,1,1.01604
21,1,0.77697
6,1,1.02858
3,1,1.14287
8,1,0.74286
10,1,1.14287
13,1,1.02858
14,1,1.08572
16,1,0.80001
17,1,0.85715
19,1,1.31430
21,1,1.08572
6,1,1.14061
3,1,1.02655
8,1,0.74140
10,1,0.11406
13,1,1.08358
14,1,1.02655
16,1,0.96952
17,1,0.79843
19,1,1.02655
21,1,1.08358
6,1,1.07776
3,1,1.13763
8,1,1.13763
10,1,1.73639
13,1,1.01788
14,1,1.13763
16,1,1.13763
17,1,1.49688
19,1,1.19751
21,1,0.71850
6,1,1.25780
3,1,1.13801
8,1,1.07811
10,1,1.25780
13,1,0.53906
14,1,0.95832
16,1,1.19790
17,1,0.71874
19,1,0.83853
21,1,1.13801
6,1,1.14309
3,1,1.14309
8,1,0.80016
10,1,0.97162
13,1,1.48601
14,1,1.02878
16,1,0.97162
17,1,1.08593
19,1,0.97162
21,1,1.08593
6,1,0.83582
3,1,0.77612
8,1,1.07462
10,1,0.71641
13,1,1.25373
14,1,0.83582
16,1,1.19402
17,1,1.13432
19,1,1.01492
21,1,0.77612
6,1,0.40030
3,1,0.85779
8,1,1.20090
10,1,1.14372
13,1,0.85779
14,1,1.37246
16,1,0.74342
17,1,1.31528
19,1,1.71558
21,1,0.74342
6,1,0.62897
3,1,0.74333
8,1,1.54384
10,1,0.62897
13,1,1.48666
14,1,0.91487
16,1,0.80051
17,1,1.08641
19,1,0.11436
21,1,0.80051
6,1,1.01577
3,1,1.19502
8,1,0.83651
10,1,1.85228
13,1,1.25477
14,1,1.13527
16,1,1.67303
17,1,1.07552
19,1,1.73278
21,1,1.25477
6,1,0.74355
3,1,1.20112
8,1,1.14392
10,1,1.20112
13,1,1.14392
14,1,1.31551
16,1,1.31551
17,1,1.08672
19,1,1.25831
21,1,1.14392
6,1,1.25644
3,1,0.83762
8,1,1.25644
10,1,0.71796
13,1,0.65813
14,1,0.71796
16,1,0.89745
17,1,1.31627
19,1,0.83762
21,1,1.19661
6,1,0.77871
3,1,0.83861
8,1,1.19801
10,1,0.95841
13,1,1.01831
14,1,0.95841
16,1,0.71881
17,1,0.59901
19,1,0.53910
21,1,0.83861
6,1,1.02816
3,1,1.14241
8,1,0.79968
10,1,1.25665
13,1,1.54225
14,1,1.14241
16,1,1.54225
17,1,1.14241
19,1,1.88497
21,1,1.19953
6,1,1.01528
3,1,0.77639
8,1,0.83612
10,1,1.01528
13,1,1.07501
14,1,1.31390
16,1,1.01528
17,1,0.89584
19,1,0.83612
21,1,1.19445
6,1,0.35930
3,1,1.25754
8,1,1.01801
10,1,1.43719
13,1,0.95813
14,1,0.65871
16,1,1.25754
17,1,1.25754
19,1,0.77848
21,1,0.83836
6,1,0.85920
3,1,1.60383
8,1,0.97375
10,1,0.91648
13,1,1.20287
14,1,1.03103
16,1,0.63008
17,1,0.85920
19,1,1.03103
21,1,0.97375
6,1,1.14262
3,1,1.14262
8,1,1.14262
10,1,0.79984
13,1,0.79984
14,1,1.42828
16,1,1.14262
17,1,1.31402
19,1,1.42828
21,1,1.19975
6,1,1.19442
3,1,1.19442
8,1,0.89582
10,1,1.01526
13,1,0.77637
14,1,0.95554
16,1,1.13470
17,1,1.07498
19,1,1.01526
21,1,1.37359
6,1,1.19929
3,1,0.79953
8,1,1.48484
10,1,1.48484
13,1,1.19929
14,1,1.25640
16,1,0.91375
17,1,0.91375
19,1,1.14218
21,1,0.79953
6,1,1.14281
3,1,1.19995
8,1,1.19995
10,1,0.85711
13,1,0.85711
14,1,0.74283
16,1,1.08567
17,1,0.91425
19,1,0.97139
21,1,1.14281
6,1,0.89859
3,1,0.83869
8,1,0.83869
10,1,0.65897
13,1,1.25803
14,1,0.89859
16,1,0.89859
17,1,1.43775
19,1,1.01841
21,1,0.83869
6,1,1.25790
3,1,1.13810
8,1,1.31780
10,1,1.13810
13,1,1.31780
14,1,1.25790
16,1,1.37770
17,1,1.01830
19,1,0.77870
21,1,1.25790
6,1,1.31824
3,1,1.49800
8,1,0.83888
10,1,1.73768
13,1,1.31824
14,1,1.13848
16,1,0.71904
17,1,0.95872
19,1,0.89880
21,1,1.25832
6,1,1.31619
3,1,0.83757
8,1,1.31619
10,1,0.23931
13,1,0.89740
14,1,1.43584
16,1,1.13671
17,1,0.77775
19,1,1.49567
21,1,0.89740
6,1,1.02795
3,1,1.25639
8,1,1.48482
10,1,1.59904
13,1,1.19928
14,1,0.97085
16,1,0.97085
17,1,0.91374
19,1,1.08506
21,1,1.25639
6,1,1.31600
3,1,1.25618
8,1,1.01691
10,1,0.89727
13,1,1.37581
14,1,0.41873
16,1,1.13654
17,1,1.97399
19,1,1.19636
21,1,0.83745
6,1,0.97061
3,1,0.85642
8,1,1.25608
10,1,0.85642
13,1,0.85642
14,1,1.76993
16,1,0.97061
17,1,0.00000
19,1,0.85642
21,1,1.08480
6,1,0.95818
3,1,1.13784
8,1,1.37738
10,1,1.49715
13,1,1.01806
14,1,0.83841
16,1,1.13784
17,1,1.67681
19,1,1.13784
21,1,1.01806
6,1,1.36475
3,1,1.08043
8,1,1.30789
10,1,0.96670
13,1,1.30789
14,1,1.13729
16,1,1.13729
17,1,1.47848
19,1,1.19416
21,1,1.25102
6,1,0.86117
3,1,1.37787
8,1,1.37787
10,1,0.86117
13,1,0.91858
14,1,0.80376
16,1,1.20563
17,1,0.80376
19,1,1.09081
21,1,1.14822
6,1,1.42666
3,1,0.91306
8,1,0.91306
10,1,1.31253
13,1,0.91306
14,1,1.08426
16,1,1.31253
17,1,1.19839
19,1,1.14133
21,1,1.08426
6,1,0.47897
3,1,0.95794
8,1,1.43691
10,1,0.65858
13,1,1.43691
14,1,0.95794
16,1,0.53884
17,1,0.89807
19,1,0.83820
21,1,1.91588
6,1,1.37121
3,1,1.37121
8,1,1.37121
10,1,1.37121
13,1,1.37121
14,1,1.25695
16,1,1.14268
17,1,0.97128
19,1,1.42835
21,1,0.91414
6,1,0.85430
3,1,1.13907
8,1,1.82251
10,1,0.85430
13,1,1.48079
14,1,1.08212
16,1,1.30993
17,1,1.02516
19,1,0.91126
21,1,0.91126
6,1,1.42413
3,1,1.59503
8,1,1.42413
10,1,1.13930
13,1,1.42413
14,1,1.13930
16,1,0.96841
17,1,1.13930
19,1,0.22786
21,1,1.36717
6,1,1.89045
3,1,1.43216
8,1,1.03115
10,1,1.03115
13,1,0.97387
14,1,1.31758
16,1,1.14573
17,1,1.20301
19,1,1.31758
21,1,0.91658
6,1,1.55608
3,1,1.61593
8,1,2.09472
10,1,0.89774
13,1,1.07728
14,1,0.89774
16,1,0.89774
17,1,1.19698
19,1,1.67577
21,1,0.95759
6,1,1.55631
3,1,1.07744
8,1,1.31688
10,1,1.19716
13,1,1.01759
14,1,1.19716
16,1,1.19716
17,1,1.19716
19,1,1.25702
21,1,1.49645
6,1,1.48260
3,1,1.42558
8,1,1.48260
10,1,1.42558
13,1,1.53963
14,1,1.08344
16,1,1.19749
17,1,0.74130
19,1,0.85535
21,1,1.02642
6,1,1.48169
3,1,1.53868
8,1,1.70965
10,1,0.96880
13,1,1.99459
14,1,0.68386
16,1,0.68386
17,1,0.79784
19,1,0.28494
21,1,0.96880
6,1,1.03121
3,1,0.97392
8,1,1.54681
10,1,1.20307
13,1,1.48952
14,1,1.43223
16,1,1.20307
17,1,1.26036
19,1,1.60410
21,1,1.03121
6,1,0.05980
3,1,0.47838
8,1,2.27230
10,1,0.89696
13,1,0.53818
14,1,1.01656
16,1,1.25575
17,1,1.01656
19,1,1.61453
21,1,2.57129
6,1,0.45707
3,1,0.79987
8,1,1.71401
10,1,0.85700
13,1,0.05713
14,1,0.28567
16,1,0.97127
17,1,0.97127
19,1,0.79987
21,1,1.99968
6,1,1.01698
3,1,1.25627
8,1,2.21342
10,1,1.67502
13,1,1.67502
14,1,1.61520
16,1,1.37591
17,1,0.89733
19,1,0.83751
21,1,1.55538
6,1,1.59757
3,1,2.22519
8,1,2.22519
10,1,0.62762
13,1,2.79575
14,1,1.19818
16,1,0.85584
17,1,1.59757
19,1,0.96995
21,1,1.65463
6,1,1.65432
3,1,1.65432
8,1,1.65432
10,1,1.36909
13,1,1.36909
14,1,0.85568
16,1,0.79864
17,1,1.31205
19,1,1.08386
21,1,1.65432
6,1,1.14382
3,1,1.08663
8,1,0.85786
10,1,0.91505
13,1,1.88730
14,1,1.08663
16,1,1.60134
17,1,0.11438
19,1,1.08663
21,1,2.23044
6,1,1.13383
3,1,1.73058
8,1,1.49188
10,1,1.07415
13,1,1.79025
14,1,0.95480
16,1,0.47740
17,1,1.79025
19,1,1.37253
21,1,1.79025
6,1,1.65459
3,1,1.14110
8,1,1.54048
10,1,0.85582
13,1,2.79569
14,1,1.25521
16,1,1.14110
17,1,0.57055
19,1,1.08404
21,1,1.88281
6,1,1.60111
3,1,1.65829
8,1,2.05857
10,1,1.37238
13,1,2.40166
14,1,0.91492
16,1,1.20083
17,1,1.82984
19,1,1.20083
21,1,1.37238
6,1,2.22605
3,1,2.22605
8,1,1.76942
10,1,0.79909
13,1,1.76942
14,1,1.31280
16,1,1.31280
17,1,0.74202
19,1,0.91325
21,1,2.05481
6,1,1.79713
3,1,1.19809
8,1,1.85704
10,1,1.19809
13,1,2.45608
14,1,1.19809
16,1,1.01838
17,1,1.37780
19,1,0.83866
21,1,2.09665
6,1,2.33270
3,1,1.19480
8,1,1.76375
10,1,0.68274
13,1,1.87754
14,1,1.13790
16,1,0.73964
17,1,0.85343
19,1,0.96722
21,1,1.76375
6,1,2.40649
3,1,1.77622
8,1,2.46379
10,1,1.26054
13,1,2.34920
14,1,0.68757
16,1,1.31784
17,1,1.14595
19,1,1.31784
21,1,1.77622
6,1,1.88338
3,1,1.76924
8,1,1.88338
10,1,1.31266
13,1,1.88338
14,1,0.97023
16,1,0.97023
17,1,0.68487
19,1,1.08437
21,1,1.19851
6,1,1.73547
3,1,1.25672
8,1,1.97484
10,1,1.13703
13,1,2.63312
14,1,1.25672
16,1,1.01734
17,1,1.19687
19,1,0.71812
21,1,1.85515
6,1,1.25676
3,1,1.85521
8,1,2.03475
10,1,0.83784
13,1,2.69305
14,1,0.89768
16,1,0.95753
17,1,0.83784
19,1,1.13706
21,1,1.25676
6,1,2.56801
3,1,1.85135
8,1,1.31386
10,1,1.19442
13,1,2.74717
14,1,1.37359
16,1,1.55275
17,1,1.43331
19,1,1.19442
21,1,1.25414
6,1,2.52193
3,1,1.83413
8,1,2.57925
10,1,0.80243
13,1,2.57925
14,1,1.14633
16,1,0.00000
17,1,1.08902
19,1,1.14633
21,1,1.94877
6,1,2.57012
3,1,1.94187
8,1,1.65630
10,1,1.54207
13,1,0.97093
14,1,1.02805
16,1,1.88475
17,1,1.02805
19,1,0.85671
21,1,1.59918
6,1,1.93935
3,1,2.56679
8,1,0.17112
10,1,0.62744
13,1,1.19784
14,1,0.79856
16,1,0.05704
17,1,0.79856
19,1,1.14080
21,1,1.54007
6,1,1.97682
3,1,1.97682
8,1,1.25797
10,1,1.31788
13,1,0.95846
14,1,1.19807
16,1,2.27633
17,1,0.83865
19,1,1.13817
21,1,1.37778
6,1,2.51733
3,1,1.88800
8,1,1.20146
10,1,0.85818
13,1,0.51491
14,1,0.97261
16,1,0.00000
17,1,1.20146
19,1,1.08703
21,1,1.88800
6,1,2.15188
3,1,2.33120
8,1,1.13571
10,1,1.13571
13,1,1.67368
14,1,0.95639
16,1,2.21165
17,1,0.83684
19,1,0.83684
21,1,1.97256
6,1,2.39711
3,1,1.71222
8,1,1.42685
10,1,1.14148
13,1,0.62781
14,1,1.19855
16,1,0.17122
17,1,1.88344
19,1,1.31270
21,1,1.94052
6,1,2.33495
3,1,2.61970
8,1,0.56950
10,1,0.96815
13,1,1.48070
14,1,0.91120
16,1,2.33495
17,1,0.22780
19,1,1.25290
21,1,2.05020
6,1,2.05532
3,1,2.11241
8,1,1.54149
10,1,1.31312
13,1,1.19894
14,1,1.54149
16,1,0.00000
17,1,1.54149
19,1,0.91348
21,1,1.99823
6,1,0.79964
3,1,2.62739
8,1,1.02811
10,1,1.02811
13,1,1.02811
14,1,1.02811
16,1,1.94199
17,1,0.91388
19,1,1.14235
21,1,0.74252
6,1,1.19450
3,1,1.01532
8,1,1.19450
10,1,0.95560
13,1,0.53752
14,1,1.13477
16,1,0.59725
17,1,1.07505
19,1,0.95560
21,1,2.15010
6,1,0.91588
3,1,0.85863
8,1,0.74415
10,1,1.14484
13,1,1.54554
14,1,0.68691
16,1,1.08760
17,1,1.03036
19,1,1.31657
21,1,2.63314
6,1,0.45734
3,1,0.74318
8,1,0.74318
10,1,1.25768
13,1,0.57167
14,1,1.14335
16,1,1.37202
17,1,1.48635
19,1,0.97185
21,1,2.05803
6,1,1.37024
3,1,1.42733
8,1,1.54152
10,1,0.97059
13,1,1.54152
14,1,1.14187
16,1,1.02768
17,1,0.85640
19,1,0.51384
21,1,1.42733
6,1,1.02775
3,1,1.08485
8,1,0.74226
10,1,0.57097
13,1,0.57097
14,1,1.08485
16,1,0.85646
17,1,1.37033
19,1,1.25614
21,1,1.02775
6,1,1.55431
3,1,1.31518
8,1,1.55431
10,1,1.25540
13,1,0.77715
14,1,0.89672
16,1,0.89672
17,1,0.95650
19,1,1.19562
21,1,1.13584
6,1,0.89203
3,1,1.01096
8,1,0.89203
10,1,1.12990
13,1,1.90299
14,1,1.01096
16,1,1.01096
17,1,1.12990
19,1,0.89203
21,1,0.89203
6,1,1.09199
3,1,1.14946
8,1,0.86210
10,1,0.97704
13,1,1.26441
14,1,1.32188
16,1,1.55177
17,1,0.97704
19,1,1.37935
21,1,0.91957
6,1,1.31763
3,1,1.07806
8,1,1.07806
10,1,1.07806
13,1,0.89838
14,1,0.11978
16,1,0.77860
17,1,0.47914
19,1,0.71871
21,1,1.43741
6,1,1.14265
3,1,1.14265
8,1,0.85699
10,1,0.91412
13,1,0.74272
14,1,1.82824
16,1,1.02839
17,1,1.65684
19,1,1.25692
21,1,0.74272
6,1,0.91371
3,1,1.02793
8,1,1.31347
10,1,1.37057
13,1,1.31347
14,1,1.14214
16,1,1.14214
17,1,0.62818
19,1,1.08504
21,1,0.57107
6,1,0.79933
3,1,1.08480
8,1,1.25609
10,1,1.19899
13,1,0.74223
14,1,1.02771
16,1,1.31318
17,1,1.31318
19,1,1.19899
21,1,1.54156
6,1,1.55340
3,1,1.07543
8,1,1.13518
10,1,1.13518
13,1,1.43391
14,1,0.95594
16,1,1.01568
17,1,1.19492
19,1,1.19492
21,1,0.71695
6,1,1.14378
3,1,0.80065
8,1,0.80065
10,1,0.85783
13,1,1.08659
14,1,1.02940
16,1,0.85783
17,1,0.97221
19,1,0.62908
21,1,1.25816
6,1,1.25427
3,1,1.13482
8,1,1.37373
10,1,0.77646
13,1,1.13482
14,1,1.13482
16,1,0.83618
17,1,1.19455
19,1,1.25427
21,1,1.13482
6,1,0.62795
3,1,1.08464
8,1,1.14173
10,1,1.54134
13,1,0.91338
14,1,1.08464
16,1,1.42716
17,1,1.08464
19,1,1.25590
21,1,0.39961
6,1,0.89819
3,1,0.89819
8,1,1.37723
10,1,0.95807
13,1,0.83831
14,1,1.07783
16,1,0.65868
17,1,1.01795
19,1,0.65868
21,1,1.97603
6,1,0.74310
3,1,1.25755
8,1,0.80026
10,1,1.08607
13,1,1.60052
14,1,1.14323
16,1,0.85742
17,1,1.20039
19,1,1.48620
21,1,0.80026
6,1,1.43359
3,1,1.13493
8,1,0.83626
10,1,0.89600
13,1,0.17920
14,1,0.83626
16,1,1.19466
17,1,1.01546
19,1,1.37386
21,1,1.55306
6,1,1.26003
3,1,1.03094
8,1,1.14548
10,1,0.97366
13,1,1.66095
14,1,1.20276
16,1,1.31731
17,1,0.80184
19,1,0.80184
21,1,0.17182
6,1,1.07536
3,1,0.95587
8,1,1.25458
10,1,1.67278
13,1,1.55329
14,1,1.43381
16,1,0.89613
17,1,0.65716
19,1,0.89613
21,1,1.97148
6,1,0.85828
3,1,1.25881
8,1,0.62940
10,1,0.00000
13,1,0.00000
14,1,0.28609
16,1,1.14437
17,1,1.37324
19,1,0.68662
21,1,0.85828
6,1,0.77806
3,1,0.89776
8,1,0.83791
10,1,2.15463
13,1,2.03493
14,1,1.85538
16,1,1.19702
17,1,1.37657
19,1,0.35911
21,1,1.37657
6,1,1.54256
3,1,0.91411
8,1,1.59969
10,1,0.00000
13,1,0.85698
14,1,0.51419
16,1,0.91411
17,1,0.68558
19,1,1.94248
21,1,0.85698
6,1,0.11954
3,1,0.77702
8,1,0.83679
10,1,1.97244
13,1,0.77702
14,1,1.31496
16,1,1.37473
17,1,1.55404
19,1,1.31496
21,1,1.13565
6,1,1.54109
3,1,1.54109
8,1,1.08447
10,1,1.14155
13,1,1.14155
14,1,1.19862
16,1,1.08447
17,1,0.85616
19,1,0.79908
21,1,1.02739
6,1,1.60231
3,1,0.34335
8,1,1.31618
10,1,0.97283
13,1,0.85838
14,1,0.85838
16,1,1.03005
17,1,1.14451
19,1,1.14451
21,1,1.20173
6,1,1.01430
3,1,0.77564
8,1,0.83531
10,1,0.95464
13,1,1.25296
14,1,1.19330
16,1,1.31263
17,1,1.01430
19,1,1.01430
21,1,0.95464
6,1,0.97135
3,1,2.28552
8,1,0.79993
10,1,1.08562
13,1,1.08562
14,1,1.31417
16,1,0.62852
17,1,0.79993
19,1,1.19990
21,1,0.79993
6,1,1.01842
3,1,0.05991
8,1,1.25804
10,1,1.07832
13,1,0.89860
14,1,1.01842
16,1,1.13823
17,1,1.55758
19,1,1.07832
21,1,1.55758
6,1,1.14229
3,1,1.94188
8,1,1.31363
10,1,1.02806
13,1,1.37074
14,1,1.25651
16,1,0.85671
17,1,0.85671
19,1,1.31363
21,1,0.91383
6,1,1.08315
3,1,1.14016
8,1,1.08315
10,1,1.14016
13,1,0.74110
14,1,0.79811
16,1,1.36819
17,1,0.85512
19,1,1.14016
21,1,1.08315
6,1,1.14307
3,1,0.62869
8,1,0.51438
10,1,0.51438
13,1,1.48599
14,1,0.97161
16,1,1.20022
17,1,1.31453
19,1,0.80015
21,1,0.74300
6,1,1.19489
3,1,1.61311
8,1,1.43387
10,1,1.31438
13,1,1.01566
14,1,1.01566
16,1,0.95591
17,1,1.25464
19,1,1.13515
21,1,1.25464
6,1,0.85869
3,1,0.91593
8,1,1.14492
10,1,1.31665
13,1,0.97318
14,1,1.25941
16,1,1.14492
17,1,0.68695
19,1,0.97318
21,1,1.48839
6,1,0.95696
3,1,0.71772
8,1,1.25602
10,1,1.07658
13,1,0.89715
14,1,1.01677
16,1,1.13639
17,1,1.37564
19,1,1.25602
21,1,0.41867
6,1,1.31268
3,1,1.54098
8,1,0.85610
10,1,1.25561
13,1,1.25561
14,1,1.08439
16,1,0.97024
17,1,0.91317
19,1,1.14146
21,1,0.45659
