Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
1241fcc4c0e0,rfsim5g-oai-du1,145.24%,1.084GiB,23.44GiB,4.62%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,145.24%,1.084GiB,23.44GiB,4.62%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,0.38%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,0.44%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,154.60%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.56%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.13%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,154.60%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.56%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.13%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,154.03%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.31%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.09%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,154.03%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.31%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.09%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,153.66%,1.086GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.65%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,18.26%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,153.66%,1.086GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.65%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,18.26%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,153.84%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,16.15%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.50%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,153.84%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,16.15%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.50%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,168.86%,1.081GiB,23.44GiB,4.61%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.53%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.42%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,168.86%,1.081GiB,23.44GiB,4.61%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.53%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.42%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,150.14%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,26.08%,60.93MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.19%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,150.14%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,26.08%,60.93MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.19%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,147.27%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.81%,60.91MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,13.75%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,147.27%,1.085GiB,23.44GiB,4.63%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.81%,60.91MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,13.75%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,144.85%,1.084GiB,23.44GiB,4.62%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.96%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,26.70%,8.602MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,144.85%,1.084GiB,23.44GiB,4.62%,5.31TB,3.93TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.96%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,26.70%,8.602MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,147.65%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.95%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.16%,8.59MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,147.65%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.95%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.16%,8.59MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,153.41%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.16%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.50%,8.59MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,153.41%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.16%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.50%,8.59MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,152.28%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.16%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.77%,8.582MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,152.28%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.51%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.77%,8.582MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
1241fcc4c0e0,rfsim5g-oai-du1,152.28%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.51%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.77%,8.582MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,28.06%,5.688MiB,23.44GiB,0.02%,1.01MB,1.02MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,149.35%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.22%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.39%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,28.06%,5.688MiB,23.44GiB,0.02%,1.01MB,1.02MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,149.35%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.22%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.39%,8.578MiB,23.44GiB,0.04%,9.6GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.61%,5.93MiB,23.44GiB,0.02%,1.11MB,1.11MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,148.99%,1.084GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.65%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.28%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.61%,5.93MiB,23.44GiB,0.02%,1.11MB,1.11MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,148.99%,1.084GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.65%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.28%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,15.49%,5.914MiB,23.44GiB,0.02%,1.2MB,1.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,144.49%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.85%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.25%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,15.49%,5.914MiB,23.44GiB,0.02%,1.2MB,1.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,144.49%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.85%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.25%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.39%,5.688MiB,23.44GiB,0.02%,1.3MB,1.3MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,166.47%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.80%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.64%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.39%,5.688MiB,23.44GiB,0.02%,1.3MB,1.3MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,166.47%,1.085GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.80%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,15.64%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.29%,5.691MiB,23.44GiB,0.02%,1.41MB,1.41MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,149.33%,1.083GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,27.66%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,17.00%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.29%,5.691MiB,23.44GiB,0.02%,1.41MB,1.41MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,149.33%,1.083GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,27.66%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,17.00%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.06%,5.699MiB,23.44GiB,0.02%,1.52MB,1.52MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,152.56%,1.083GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.38%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.70%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.06%,5.699MiB,23.44GiB,0.02%,1.52MB,1.52MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,152.56%,1.083GiB,23.44GiB,4.62%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,15.38%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,16.70%,8.578MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.39%,5.703MiB,23.44GiB,0.02%,1.64MB,1.65MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,148.55%,1.086GiB,23.44GiB,4.63%,5.31TB,3.94TB,0B,57.4MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.45%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,325MB,13
79b729c535d0,rfsim5g-oai-cuup,30.23%,8.594MiB,23.44GiB,0.04%,9.61GB,7.73GB,1.37MB,0B,12
